county,rep_votes
ANDERSON,11421
ANDREWS,3419
ANGELINA,19231
ARANSAS,6676
ARCHER,3249
ARMSTRONG,808
AUSTIN,8763
BAILEY,1236
BANDERA,7519
BASTROP,15019
BAYLOR,1083
BEE,4183
BELL,46859
BLANCO,4157
BORDEN,325
BOSQUE,5664
BOWIE,20443
BRAZORIA,66638
BRAZOS,38075
BREWSTER,1940
BRISCOE,558
BROOKS,338
BROWN,10555
BURLESON,5147
BURNET,13987
CALDWELL,5798
CALHOUN,4159
CALLAHAN,4416
CAMERON,26632
CARSON,2216
CASS,8217
CASTRO,1215
CHAMBERS,12334
CHEROKEE,11606
CHILDRESS,1541
CLAY,3770
COCHRAN,553
COKE,1184
COLEMAN,2763
COLLIN,194359
COLLINGSWORTH,832
COLORADO,5704
COMAL,43915
COMANCHE,3867
CONCHO,832
CORYELL,10705
COTTLE,460
CRANE,787
CROCKETT,904
CROSBY,1025
CULBERSON,286
DALLAM,969
DALLAS,212517
DAWSON,2277
DEAF SMITH,2792
DELTA,1577
DENTON,165109
DEWITT,4971
DICKENS,654
DIMMIT,788
DONLEY,1134
EASTLAND,5387
ECTOR,22040
EDWARDS,601
EL PASO,52512
ELLIS,40883
ERATH,10126
FALLS,3251
FANNIN,8624
FAYETTE,8183
FISHER,1168
FLOYD,1442
FOARD,324
FORT BEND,103712
FRANKLIN,3319
FREESTONE,5248
FRIO,1586
GALVESTON,68811
GARZA,1101
GILLESPIE,9796
GLASSCOCK,524
GOLIAD,2206
GONZALES,4173
GRAY,5301
GRAYSON,32038
GREGG,24812
GRIMES,6571
GUADALUPE,33508
HALE,5654
HALL,809
HAMILTON,2758
HANSFORD,1565
HARDEMAN,1000
HARRIS,488140
HARRISON,16273
HARTLEY,1483
HASKELL,1402
HAYS,33199
HEMPHILL,1234
HENDERSON,21484
HIDALGO,33990
HILL,8887
HOCKLEY,4989
HOOD,20161
HOPKINS,9399
HOUSTON,5590
HOWARD,5716
HUDSPETH,469
HUNT,21267
IRION,644
JACK,2501
JACKSON,3932
JASPER,9572
JEFF DAVIS,706
JEFFERSON,36974
JIM HOGG,243
JIM WELLS,4327
JOHNSON,39618
JONES,4205
KARNES,2563
KAUFMAN,26727
KENDALL,15191
KENEDY,64
KENT,301
KERR,16539
KIMBLE,1520
KING,124
KINNEY,820
KLEBERG,3968
KNOX,870
LAMAR,12871
LAMB,2810
LAMPASAS,5860
LASALLE,571
LAVACA,6699
LEE,4466
LEON,5721
LIBERTY,16109
LIMESTONE,5242
LIPSCOMB,954
LIVE OAK,2949
LLANO,8053
LOVING,45
LUBBOCK,62195
LYNN,1393
MADISON,3046
MARION,2484
MARTIN,1309
MASON,1579
MATAGORDA,7109
MAVERICK,2881
MCCULLOCH,2294
MCLENNAN,47727
MEDINA,11681
MENARD,654
MIDLAND,33718
MILAM,5959
MITCHELL,1614
MONTAGUE,6474
MONTGOMERY,140962
MOORE,3300
MORRIS,2959
MOTLEY,480
NACOGDOCHES,13701
NAVARRO,10363
NEWTON,3654
NOLAN,3223
NUECES,44924
OCHILTREE,2181
OLDHAM,749
ORANGE,21373
PALO PINTO,7616
PANOLA,7105
PARMER,1676
PECOS,2144
POLK,12939
POTTER,17450
PRESIDIO,431
RAINS,3655
RANDALL,39701
REAGAN,674
REAL,1279
RED RIVER,3405
REEVES,1014
REFUGIO,1576
ROBERTS,442
ROBERTSON,4348
ROCKWALL,27775
RUNNELS,2885
SABINE,3421
SAN AUGUSTINE,2247
SAN JACINTO,7534
SAN PATRICIO,11167
SAN SABA,1823
SCHLEICHER,730
SCURRY,3760
SHACKELFORD,1196
SHELBY,5998
SHERMAN,707
SMITH,53983
SOMERVELL,3008
STEPHENS,2651
STERLING,454
STONEWALL,511
SWISHER,1493
TARRANT,324717
TAYLOR,31218
TERRELL,275
TERRY,2247
THROCKMORTON,623
TITUS,5748
TOM GREEN,25948
TRAVIS,125187
TRINITY,4207
TYLER,6058
UPSHUR,11484
UPTON,813
UVALDE,4388
VAL VERDE,5518
VAN ZANDT,15246
WALKER,11864
WALLER,10219
WARD,2036
WASHINGTON,10262
WHARTON,9110
WHEELER,1674
WICHITA,24779
WILBARGER,2759
WILLACY,1319
WILLIAMSON,99648
WILSON,1315
WINKLER,1110
WISE,19142
WOOD,14071
YOAKUM,1592
ZAVALA,557
