date,county,total_cases,percent_of_states_cases,incidence_rate,total_deaths,,,,,,,,,,,
20200716,Harris,49027,16.9,1040,473,1.04,,,,,,,,,,
20200716,Dallas,35914,12.4,1363,477,1.363,,89916.60939,0.415268041,,DALLAS,460156,212517,697527,D,
20200716,Bexar,21546,7.4,1075,208,1.075,,,,,,,,,,
20200716,Tarrant,19014,6.5,904,272,0.904,,,,,,,,,,
20200716,Travis,15998,5.5,1256,179,1.256,,,,,,,,,,
20200716,El Paso,10298,3.5,1227,159,1.227,,,,,,,,,,
20200716,Hidalgo,9244,3.2,1064,218,1.064,,,,,,,,,,
20200716,Nueces,7032,2.4,1941,64,1.941,,,,,,,,,,
20200716,Galveston,6452,2.2,1886,58,1.886,,,,,,,,,,
20200716,Fort Bend,5284,1.8,651,65,0.651,,,,,,,,,,
20200716,Cameron,4905,1.7,1159,79,1.159,,,,,,,,,,
20200716,Collin,4800,1.7,464,61,0.464,,,,,,,,,,
20200716,Denton,4316,1.5,486,41,0.486,,,,,,,,,,
20200716,Williamson,4153,1.4,703,56,0.703,,,,,,,,,,
20200716,Lubbock,4063,1.4,1308,64,1.308,,,,,,,,,,
20200716,Brazoria,3988,1.4,1066,28,1.066,,,,,,,,,,
20200716,Jefferson,3868,1.3,1538,43,1.538,,,,,,,,,,
20200716,Hays,3769,1.3,1637,0,1.637,,,,,,,,,,
20200716,Montgomery,3471,1.2,571,44,0.571,,,,,,,,,,
20200716,Webb,3211,1.1,1161,49,1.161,,,,,,,,,,
20200716,Brazos,3120,1.1,1361,36,1.361,,,,,,,,,,
20200716,Potter,3081,1.1,2624,39,2.624,,,,,,,,,,
20200716,McLennan,2920,1,1138,0,1.138,,,,,,,,,,
20200716,Walker,2495,0.9,3419,28,3.419,,,,,,,,,,
20200716,Bell,2396,0.8,660,0,0.66,,,,,,,,,,
20200716,Ector,2197,0.8,1322,0,1.322,,,,,,,,,,
20200716,Victoria,2192,0.8,2380,0,2.38,,,,,,,,,,
20200716,Anderson,1944,0.7,3367,0,3.367,2.45791,0.729059371,2.633329247,384.54507,ANDERSON,3162,11421,14603,R,R
20200716,Ellis,1811,0.6,980,21,,,0.729059371,2.633329247,,,,,,,
20200716,Smith,1568,0.5,674,0,,,,,,,,,,,
20200716,Midland,1266,0.4,716,22,,,,,,,,,,,
20200716,Randall,1166,0.4,847,0,,,,,,,,,,,
20200716,Tom Green,1160,0.4,973,0,,,,,,,,,,,
20200716,Comal,1117,0.4,715,30,,,,,,,,,,,
20200716,Guadalupe,1115,0.4,668,0,,,,,,,,,,,
20200716,Kaufman,1109,0.4,815,0,,,,,,,,,,,
20200716,Starr,1061,0.4,1642,0,,,,,,,,,,,
20200716,Angelina,1000,0.3,1153,0,,,,,,,,,,,
20200716,Maverick,939,0.3,1599,0,,,,,,,,,,,
20200716,Johnson,932,0.3,530,0,,,,,,,,,,,
20200716,Gregg,927,0.3,748,0,,,,,,,,,,,
20200716,Moore,921,0.3,4398,0,,,,,,,,,,,
20200716,Titus,919,0.3,2806,0,,,,,,,,,,,
20200716,Hale,871,0.3,2607,0,,,,,,,,,,,
20200716,Bastrop,862,0.3,972,0,,,,,,,,,,,
20200716,Val Verde,804,0.3,1640,0,,,,,,,,,,,
20200716,Hunt,799,0.3,810,0,,,,,,,,,,,
20200716,Taylor,794,0.3,575,0,,,,,,,,,,,
20200716,Grayson,771,0.3,566,0,,,,,,,,,,,
20200716,Caldwell,749,0.3,1715,0,,,,,,,,,,,
20200716,Orange,694,0.2,832,0,,,,,,,,,,,
20200716,Grimes,691,0.2,2393,0,,,,,,,,,,,
20200716,Parker,665,0.2,465,0,,,,,,,,,,,
20200716,Wichita,648,0.2,490,0,,,,,,,,,,,
20200716,Chambers,634,0.2,1446,0,,,,,,,,,,,
20200716,Nacogdoches,633,0.2,971,33,,,,,,,,,,,
20200716,Jones,609,0.2,3032,0,,,,,,,,,,,
20200716,Liberty,577,0.2,654,0,,,,,,,,,,,
20200716,Bowie,536,0.2,575,0,,,,,,,,,,,
20200716,Matagorda,521,0.2,1422,0,,,,,,,,,,,
20200716,Rockwall,505,0.2,481,0,,,,,,,,,,,
20200716,Hardin,488,0.2,847,0,,,,,,,,,,,
20200716,Navarro,486,0.2,970,0,,,,,,,,,,,
20200716,Harrison,458,0.2,688,31,,,,,,,,,,,
20200716,Cherokee,439,0.2,834,0,,,,,,,,,,,
20200716,Deaf Smith,424,0.1,2286,0,,,,,,,,,,,
20200716,Medina,419,0.1,812,0,,,,,,,,,,,
20200716,Lamar,418,0.1,838,0,,,,,,,,,,,
20200716,Coryell,418,0.1,550,0,,,,,,,,,,,
20200716,Polk,414,0.1,806,0,,,,,,,,,,,
20200716,Willacy,410,0.1,1920,0,,,,,,,,,,,
20200716,Wharton,368,0.1,886,0,,,,,,,,,,,
20200716,Washington,367,0.1,1023,33,,,,,,,,,,,
20200716,Scurry,356,0.1,2131,0,,,,,,,,,,,
20200716,Gonzales,355,0.1,1704,0,,,,,,,,,,,
20200716,San Patricio,352,0.1,527,0,,,,,,,,,,,
20200716,Lavaca,351,0.1,1742,0,,,,,,,,,,,
20200716,Jim Wells,350,0.1,865,0,,,,,,,,,,,
20200716,Frio,341,0.1,1679,0,,,,,,,,,,,
20200716,Atascosa,341,0.1,667,0,,,,,,,,,,,
20200716,Henderson,335,0.1,405,0,,,,,,,,,,,
20200716,Shelby,312,0.1,1234,0,,,,,,,,,,,
20200716,Erath,309,0.1,724,0,,,,,,,,,,,
20200716,Uvalde,282,0.1,1055,0,,,,,,,,,,,
20200716,DeWitt,281,0.1,1394,0,,,,,,,,,,,
20200716,Burnet,278,0.1,577,0,,,,,,,,,,,
20200716,Waller,269,0.1,487,0,,,,,,,,,,,
20200716,Rusk,263,0.1,483,0,,,,,,,,,,,
20200716,Kerr,260,0.1,494,0,,,,,,,,,,,
20200716,Brown,248,0.1,655,0,,,,,,,,,,,
20200716,Parmer,236,0.1,2457,0,,,,,,,,,,,
20200716,Panola,234,0.1,1009,24,,,,,,,,,,,
20200716,Wilson,220,0.1,431,0,,,,,,,,,,,
20200716,Hood,218,0.1,354,0,,,,,,,,,,,
20200716,Van Zandt,216,0.1,382,0,,,,,,,,,,,
20200716,Wise,210,0.1,300,0,,,,,,,,,,,
20200716,Milam,203,0.1,818,0,,,,,,,,,,,
20200716,Kleberg,197,0.1,642,0,,,,,,,,,,,
20200716,Houston,192,0.1,836,0,,,,,,,,,,,
20200716,Colorado,182,0.1,847,0,,,,,,,,,,,
20200716,Fayette,179,0.1,706,0,,,,,,,,,,,
20200716,Calhoun,177,0.1,831,0,,,,,,,,,,,
20200716,Hill,177,0.1,483,0,,,,,,,,,,,
20200716,Andrews,174,0.1,930,0,,,,,,,,,,,
20200716,Bee,173,0.1,531,0,,,,,,,,,,,
20200716,Brewster,159,0.1,1728,0,,,,,,,,,,,
20200716,Madison,158,0.1,1106,0,,,,,,,,,,,
20200716,Burleson,156,0.1,846,0,,,,,,,,,,,
20200716,Wood,154,0.1,338,0,,,,,,,,,,,
20200716,Pecos,151,0.1,954,0,,,,,,,,,,,
20200716,Fannin,150,0.1,422,0,,,,,,,,,,,
20200716,Camp,144,0,1100,0,,,,,,,,,,,
20200716,Austin,141,0,469,0,,,,,,,,,,,
20200716,Gray,135,0,617,0,,,,,,,,,,,
20200716,Castro,130,0,1726,0,,,,,,,,,,,
20200716,San Augustine,130,0,1578,0,,,,,,,,,,,
20200716,Dallam,129,0,1770,0,,,,,,,,,,,
20200716,Robertson,124,0,726,0,,,,,,,,,,,
